jmap -histo:live 17142

 num     #instances         #bytes  class name
----------------------------------------------
   1:        201381       98559248  [C
   2:          5657       11096056  [B
   3:         85862        7555856  com.github.dandelion.datatables.core.model.HtmlColumn
   4:         99005        5656544  [Ljava.lang.Object;
   5:        180599        4334376  java.lang.String
   6:        110052        2641248  java.util.LinkedList$Node
   7:         95540        2292960  java.util.ArrayList
   8:         33400        1068800  java.util.Hashtable$Entry
   9:         31019         992608  java.util.LinkedList
  10:          7642         861504  java.lang.Class
  11:          7380         790720  [Ljava.util.HashMap$Node;
  12:         22448         718336  java.util.concurrent.ConcurrentHashMap$Node
  13:         21524         688768  com.github.dandelion.datatables.core.model.HtmlRow
  14:          5078         641776  [I
  15:         19461         622752  java.util.HashMap$Node
  16:          6254         550352  java.lang.reflect.Method
  17:          9906         475488  java.util.HashMap
  18:          7553         422968  org.apache.tomcat.util.buf.ByteChunk
  19:          2155         413760  com.github.dandelion.datatables.core.model.HtmlTable
  20:          1446         340208  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  21:          6335         339344  [Ljava.lang.String;
  22:         13983         335592  java.lang.StringBuffer
  23:          3551         333856  [Ljava.util.Hashtable$Entry;
  24:          6748         323904  org.apache.tomcat.util.buf.CharChunk
  25:          6048         290304  org.apache.tomcat.util.buf.MessageBytes
  26:          8252         264064  java.lang.ref.WeakReference
  27:         12559         200944  java.lang.Object
  28:          4955         198200  java.lang.ref.SoftReference
  29:          3993         191664  org.springframework.samples.petclinic.repository.jdbc.JdbcPet
  30:          4243         169720  java.util.LinkedHashMap$Entry
  31:          6465         155160  com.github.dandelion.datatables.core.model.Configuration
  32:          6436         154464  org.joda.time.DateTime
  33:          2155         137920  com.github.dandelion.datatables.core.model.JsResource
  34:          3185         127400  java.lang.ref.Finalizer
  35:          2572         123456  java.util.zip.Inflater
  36:          2182         122192  java.util.LinkedHashMap
  37:          2155         120680  com.github.dandelion.datatables.core.theme.Bootstrap2Theme
  38:          2852         114080  javax.servlet.jsp.tagext.TagAttributeInfo
  39:          4739         113736  java.beans.MethodRef
  40:          2194         105312  java.util.Properties
  41:          1642         105088  java.util.concurrent.ConcurrentHashMap
  42:          6468         103488  java.lang.Boolean
